music_id,music_img,music_name,music_author,music_album,music_list_id_id
1353372483,http://p1.music.126.net/_thXE9xYXXVN_8MXzzD5_A==/109951163942945643.jpg?param=130y130,别让我走远,林宥嘉,别让我走远,955
551400874,http://p2.music.126.net/dHea1IM0_f0t23Woicehxw==/109951163243188849.jpg?param=130y130,April Encounter,很美味,四月是你,955
1353194608,http://p2.music.126.net/a_rb8pgC5R_hO-lfm7acSw==/109951164019567772.jpg?param=130y130,今天也想见到你,焦迈奇,我的名字,955
1354629987,http://p2.music.126.net/yI7Pf2XGAitw5OuImEyuRg==/109951163954891400.jpg?param=130y130,去见你,徐秉龙,去见你,955
1354632376,http://p1.music.126.net/JK3BSgPN2zUGfEW3Dey4OA==/109951163967371508.jpg?param=130y130,龋齿,孟凡明,人设,955
1359099260,http://p2.music.126.net/xFh4BNUx1nuLRPq9CoWTWw==/109951164002777911.jpg?param=130y130,黑洞,柳琦,黑洞,955
476630808,http://p1.music.126.net/QBm2v4tOY4X7ttgCurnWlw==/18549860674103071.jpg?param=130y130,拥有,鲁向卉,鱼儿,955
1335166911,http://p2.music.126.net/3QACTe1TTtLzPTk5Sxq9lA==/109951163743360783.jpg?param=130y130,给你的糖,Todd Li,Cosy,955
1336856449,http://p1.music.126.net/4xF8d6QNMy-TKYMy2AUwCQ==/109951163803974764.jpg?param=130y130,告白,沈以诚,告白,955
526464145,http://p1.music.126.net/BA0bFrD0cK4YDSYublCThA==/109951163093942268.jpg?param=130y130,喜欢,阿肆,喜欢,955
557579034,http://p1.music.126.net/4H1k3kiJI12bX04ubugexg==/109951163285154627.jpg?param=130y130,秒秒,鉛筆,秒秒,955
1363363410,http://p2.music.126.net/V8qkSMJdYvP33wb1EDDpfw==/109951164051504395.jpg?param=130y130,默读,虎二,默读,955
463840571,http://p2.music.126.net/Jd3VG05RU_yEl52ZeLhg-w==/18923694625825737.jpg?param=130y130,好在,陈粒,好在,955
558448435,http://p2.music.126.net/PNOLQwbwcEM9fw4IguE9Jw==/109951163288808148.jpg?param=130y130,在你左右,Gifty,在你左右,955
1357646940,http://p1.music.126.net/ygl420oi9a5_LyFta9iU-g==/109951164003309907.jpg?param=130y130,看你看我,周洁琼,王子异,955
427609827,http://p2.music.126.net/QQrQFmdxaHFprapVhDo1pA==/18280480323841807.jpg?param=130y130,Midnight Canyon,The Cheers Cheers,不如搬去船底星,956
493631448,http://p2.music.126.net/gBLk4lyZ7nA5r-HjVV1TVg==/17738421091339731.jpg?param=130y130,Dreams Tonite,Alvvays,Antisocialites,956
441438192,http://p2.music.126.net/0wiCXnL67Bhuk7LMWFgDZA==/109951162810266261.jpg?param=130y130,Sonnet 1,The Cheers Cheers,Sonnet 1,956
408055512,http://p1.music.126.net/yCDsOdxGosCLXYf8VkD-sQ==/109951163373344713.jpg?param=130y130,Electric,Brett,Mode,956
1325896199,http://p1.music.126.net/rbvb5ei6aEq_ogPEOJXuIA==/109951163676840183.jpg?param=130y130,Camped,RINI,Camp,956
16957722,http://p2.music.126.net/018nYsjwe_hH2K_pVjQahw==/595935302262275.jpg?param=130y130,Intro - intro,M83,"Hurry Up, We're Dreaming.",956
17276013,http://p1.music.126.net/EQhzofpnDpx8djwCfQaqbA==/2529976256654299.jpg?param=130y130,Look On Down From The Bridge,Mazzy Star,Among My Swan,956
404184867,http://p2.music.126.net/BoeEghAVoEkC_72YnFOhlQ==/17781302044812671.jpg?param=130y130,This Must Be My Dream,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",956
3917339,http://p1.music.126.net/CFc5via5vd4nmHoaem6ttw==/905997581331735.jpg?param=130y130,Oimiakon,A Red Season Shade,Interiors,956
456175245,http://p2.music.126.net/6xXPzQdTAtg3-6T1FX3R0w==/18614731860002793.jpg?param=130y130,Big Picture,London Grammar,Big Picture,956
26145696,http://p1.music.126.net/F2di6btB63vP7OoqGvyCHA==/18159534044644871.jpg?param=130y130,Youth,Daughter,If You Leave,956
28313105,http://p2.music.126.net/8PQXr59ua5PIV7TKZN3Zmg==/6042915906428998.jpg?param=130y130,Heaven Sent,Mr. Little Jeans,Pocketknife,956
33075109,http://p1.music.126.net/sx_jjQMwoIQyOzawrxP2ow==/7818627186135449.jpg?param=130y130,Wildflower,Beach House,Depression Cherry,956
28409247,http://s4.music.126.net/style/web2/img/default/default_album.jpg?param=130y130,Eurydice,The Pains of Being Pure at Heart,Days of Abandon,956
36308371,http://p1.music.126.net/5oeI036_Hpr2_zNsfWKQiA==/3306231466128705.jpg?param=130y130,Memories That You Call (Petit Biscuit Remix),PETIT BISCUIT,Odesza,956
501220106,http://p1.music.126.net/Ry2hYBoKLVrRb8YNp_Djug==/109951163011060144.jpg?param=130y130,Almost Home,余佳运,Jony J,957
1345976337,http://p2.music.126.net/-yLMI3D01UwZm3xN8JimjA==/109951163862015763.jpg?param=130y130,一起逃命,太一,一起逃命,957
1353194608,http://p1.music.126.net/a_rb8pgC5R_hO-lfm7acSw==/109951164019567772.jpg?param=130y130,今天也想见到你,焦迈奇,我的名字,957
407435011,http://p2.music.126.net/O6d7GYY3gp2uy8zehvcOjQ==/17699938184267410.jpg?param=130y130,我想,余佳运,幸福三部曲,957
386542,http://p2.music.126.net/AmUoDfx17bcXoZF0uxU0-A==/109951163188724394.jpg?param=130y130,拥抱,五月天,我们是五月天,957
1311319058,http://p1.music.126.net/lImkmFfPTf6sfmNeXc3MqQ==/109951163559198470.jpg?param=130y130,东西,林俊呈,东西,957
521595445,http://p2.music.126.net/gSUx5avVtTWwJXTc-rGiAQ==/109951163073250817.jpg?param=130y130,Lutra,太一,Lutra,957
1315169726,http://p2.music.126.net/pyuYQDkbKX_4RNo0Lg567g==/109951163585051227.jpg?param=130y130,了解(Knowing),余佳运,了解(Knowing),957
1325898368,http://p1.music.126.net/pTdy0AnxgSwTDK-lXeB3-g==/109951163678538781.jpg?param=130y130,Ti Amo,艾福杰尼,楼兰,957
26075548,http://p2.music.126.net/DxQeZM26qjkQsyZulBdw6A==/109951163314294843.jpg?param=130y130,初爱,杨宗纬,初·爱,957
519136840,http://p1.music.126.net/2pFqN1pyqF2DHdSt1hQ10Q==/109951163063456206.jpg?param=130y130,只只,孟凡明,只只,957
1336856864,http://p1.music.126.net/1iLwRvMtUMYLZUNR-HQW7Q==/109951163957708692.jpg?param=130y130,形容,沈以诚,初遇,957
514761281,http://p2.music.126.net/tczb_7II9KzSuLQsVt89Gw==/109951163049336667.jpg?param=130y130,白羊,徐秉龙,沈以诚,957
